would go about in the	1996	1	1	1
would go about in the	1999	1	1	1
would go about in the	2003	1	1	1
would go about in the	2008	1	1	1
would go and have some	1719	1	1	1
would go and have some	1781	1	1	1
would go and have some	1784	1	1	1
would go and have some	1809	1	1	1
would go and have some	1810	5	5	5
would go and have some	1812	2	2	2
would go and have some	1814	1	1	1
would go and have some	1820	5	5	5
would go and have some	1822	2	2	2
would go and have some	1823	1	1	1
would go and have some	1826	1	1	1
would go and have some	1831	4	4	4
would go and have some	1836	1	1	1
would go and have some	1838	1	1	1
would go and have some	1840	4	4	4
would go and have some	1842	1	1	1
would go and have some	1845	1	1	1
would go and have some	1847	3	3	3
would go and have some	1850	2	2	2
would go and have some	1852	2	2	2
would go and have some	1853	5	5	5
would go and have some	1854	1	1	1
would go and have some	1856	1	1	1
would go and have some	1858	3	3	3
would go and have some	1859	1	1	1
would go and have some	1860	1	1	1
would go and have some	1861	1	1	1
would go and have some	1862	5	5	5
would go and have some	1864	7	7	7
would go and have some	1867	1	1	1
would go and have some	1868	1	1	1
would go and have some	1869	3	3	3
would go and have some	1870	1	1	1
would go and have some	1871	3	3	3
would go and have some	1872	1	1	1
would go and have some	1873	5	5	5
would go and have some	1874	3	3	3
would go and have some	1875	1	1	1
would go and have some	1876	7	7	7
would go and have some	1877	2	2	2
would go and have some	1880	2	2	2
would go and have some	1881	1	1	1
would go and have some	1882	1	1	1
would go and have some	1883	3	3	3
would go and have some	1885	2	2	2
would go and have some	1888	1	1	1
would go and have some	1889	1	1	1
would go and have some	1890	1	1	1
would go and have some	1891	5	5	5
would go and have some	1895	3	3	3
would go and have some	1896	4	4	4
would go and have some	1899	1	1	1
would go and have some	1903	7	7	7
would go and have some	1904	1	1	1
would go and have some	1906	1	1	1
would go and have some	1907	1	1	1
would go and have some	1908	2	2	2
would go and have some	1910	1	1	1
would go and have some	1915	2	2	2
would go and have some	1920	3	3	3
would go and have some	1921	1	1	1
would go and have some	1925	1	1	1
would go and have some	1931	1	1	1
would go and have some	1932	1	1	1
would go and have some	1935	1	1	1
would go and have some	1937	1	1	1
